ID	Sex	Survival	TotalLength	AlarExtent	Weight	BeakHead	Humerus	Femur	Tibiotarsus	SkullWidth	Sternum
77	f	F	160	242	26	32.6	0.74	0.732	1.157	0.597	0.854
78	m	T	163	248	26.3	33	0.736	0.704	1.148	0.609	0.839
79	f	F	152	232	23.2	30.3	0.676	0.683	1.048	0.59	0.78
80	m	T	160	250	24.4	31.5	0.746	0.715	1.173	0.604	0.893
81	f	F	160	250	26.5	31.7	0.741	0.731	1.187	0.615	0.886
82	m	T	156	237	23.3	30.6	0.692	0.664	1.011	0.588	0.774
83	f	F	155	237	24.2	31	0.727	0.723	1.118	0.61	0.787
84	m	T	162	253	26.7	32	0.759	0.734	1.197	0.63	0.878
85	f	F	157	245	26.9	32.2	0.766	0.751	1.227	0.62	0.841
86	m	T	163	254	26.4	32	0.766	0.75	1.165	0.605	0.886
87	f	F	165	245	27.7	33.1	0.78	0.757	1.195	0.633	0.895
88	m	T	164	251	26.9	32	0.755	0.742	1.171	0.62	0.886
89	f	F	153	231	23.9	30.1	0.68	0.662	1.042	0.592	0.781
90	m	T	163	244	24.3	31.3	0.718	0.68	1.082	0.61	0.892
91	f	F	162	239	26.1	30.3	0.709	0.685	1.092	0.587	0.911
92	m	T	160	247	27	31.5	0.764	0.732	1.177	0.617	0.846
93	f	F	162	243	24.6	31.6	0.741	0.729	1.162	0.605	0.84
94	m	T	160	250	26.8	32.5	0.764	0.729	1.123	0.635	0.842
95	f	F	159	245	23.6	31.8	0.727	0.7	1.129	0.61	0.855
96	m	T	158	247	24.9	32.4	0.745	0.724	1.139	0.588	0.865
97	f	F	159	247	26	30.9	0.711	0.666	1.098	0.58	0.749
98	m	T	158	249	26.1	32.2	0.742	0.736	1.148	0.602	0.817
99	f	F	155	243	25	30.9	0.73	0.711	1.127	0.598	0.839
100	m	T	158	243	26.6	32.4	0.747	0.711	1.163	0.612	0.891
101	f	F	162	252	24.8	31.9	0.752	0.738	1.18	0.615	0.875
102	m	T	155	237	23.3	30.2	0.685	0.653	1.011	0.587	0.794
103	f	F	152	230	22.8	30.4	0.682	0.664	1.042	0.551	0.734
104	f	T	156	245	25.3	31.6	0.729	0.71	1.152	0.62	0.809
105	f	T	154	240	22.6	30.4	0.705	0.686	1.103	0.584	0.77
106	f	F	159	242	24.8	30.8	0.717	0.667	1.09	0.575	0.809
107	f	T	153	240	25.1	31	0.724	0.713	1.123	0.585	0.812
108	f	F	155	238	24.6	31.2	0.706	0.702	1.102	0.588	0.758
109	f	T	153	236	23.2	30.9	0.698	0.678	1.132	0.596	0.795
110	f	F	163	249	30.5	33.4	0.767	0.767	1.207	0.64	0.896
111	f	T	155	243	24.4	31.5	0.734	0.736	1.17	0.596	0.801
112	f	F	163	242	24.8	31	0.713	0.713	1.128	0.607	0.813
113	f	F	156	237	23.9	31.7	0.718	0.716	1.09	0.611	0.8
114	f	T	163	247	25.1	32	0.748	0.734	1.166	0.602	0.821
115	f	T	157	238	24.6	30.9	0.726	0.727	1.175	0.588	0.797
116	f	F	159	238	24.7	31.5	0.726	0.701	1.145	0.6	0.8
117	f	T	155	239	24	32.8	0.732	0.742	1.175	0.601	0.835
118	f	F	161	245	26.9	32.1	0.751	0.704	1.142	0.607	0.819
119	f	F	155	235	22.6	30.7	0.695	0.692	1.119	0.584	0.771
120	f	T	164	248	24.2	32.7	0.752	0.752	1.201	0.604	0.83
121	f	T	158	238	24.9	31	0.741	0.69	1.091	0.592	0.866
122	f	F	162	247	26.1	31.9	0.751	0.735	1.157	0.618	0.802
123	f	F	153	237	24.8	30.6	0.732	0.718	1.172	0.594	0.802
124	f	T	158	240	24.1	31.3	0.733	0.706	1.107	0.591	0.867
125	f	T	160	244	24	31.1	0.731	0.73	1.152	0.589	0.808
126	f	F	162	245	26.2	32.5	0.728	0.731	1.102	0.614	0.832
127	f	T	161	246	26	32.3	0.758	0.732	1.154	0.623	0.859
128	f	F	164	248	26.1	32.3	0.739	0.707	1.159	0.592	0.823
129	f	T	157	245	24.9	32	0.752	0.74	1.186	0.593	0.787
130	f	T	157	235	25.5	31.5	0.712	0.704	1.132	0.611	0.781
131	f	T	156	237	23.4	30.9	0.708	0.691	1.123	0.613	0.798
132	f	T	158	244	25.9	31.4	0.729	0.705	1.146	0.597	0.851
133	f	T	153	238	24.2	30.5	0.715	0.707	1.116	0.595	0.821
134	f	T	155	236	24.2	30.3	0.727	0.705	1.12	0.585	0.79
135	f	T	163	246	27.4	32.5	0.732	0.711	1.163	0.63	0.862
136	f	T	159	236	24	31.5	0.709	0.713	1.129	0.607	0.845
